Node,Code,Fraction,Coal,Gas,Oil,Hydro,Geothermal,Biomass,Waste,Nuclear
Cambodia,KH,1,0,0,0,1852,0,14,0,0
Laos,LA,1,0,0,0,15000,0,0,0,0
Vietnam-Hanoi,VH,0.5,0,0,0,29272,0,29.5,0,0
Vietnam-HCMC,VS,0.5,0,0,0,29272,0,29.5,0,0
Thailand-Central-East,CACE,1,0,0,0,760,0,0,0,0
Thailand-Central-West,CACW,1,0,0,0,651,0,0,0,0
Thailand-Central-North,CACN,1,0,0,0,485,0,0,0,0
Thailand-Metropolitan,MAC,1,0,0,0,1,0,0,0,0
Thailand-North,NAC,1,0,0,0,2451,0,0,0,0
Thailand-Northeast,NEC,1,0,0,0,479,0,0,0,0
Thailand-South,SAC,1,0,0,0,559,0,0,0,0
