,intraday,overnight,monthly,seasonal,longterm,Original,Frequencies
0,0j,0j,0j,0j,,,0.0
1,0j,0j,0j,0j,,,1.141539479994162e-05
2,0j,0j,0j,0j,,,2.283078959988324e-05
3,0j,0j,0j,0j,,,3.424618439982486e-05
4,0j,0j,0j,0j,,,4.566157919976648e-05
5,0j,0j,0j,0j,,,5.70769739997081e-05
6,0j,0j,0j,0j,,,6.849236879964972e-05
7,0j,0j,0j,0j,,,7.990776359959133e-05
8,0j,0j,0j,0j,,,9.132315839953296e-05
9,0j,0j,0j,0j,,,0.00010273855319947458
10,0j,0j,0j,0j,,,0.0001141539479994162
11,0j,0j,0j,,0j,,0.00012556934279935782
12,0j,0j,0j,,0j,,0.00013698473759929944
13,0j,0j,0j,,0j,,0.00014840013239924107
14,0j,0j,0j,,0j,,0.00015981552719918267
15,0j,0j,0j,,0j,,0.0001712309219991243
16,0j,0j,0j,,0j,,0.00018264631679906592
17,0j,0j,0j,,0j,,0.00019406171159900754
18,0j,0j,0j,,0j,,0.00020547710639894917
19,0j,0j,0j,,0j,,0.00021689250119889076
20,0j,0j,0j,,0j,,0.0002283078959988324
21,0j,0j,0j,,0j,,0.000239723290798774
22,0j,0j,0j,,0j,,0.00025113868559871564
23,0j,0j,0j,,0j,,0.00026255408039865726
24,0j,0j,0j,,0j,,0.0002739694751985989
25,0j,0j,0j,,0j,,0.0002853848699985405
26,0j,0j,0j,,0j,,0.00029680026479848214
27,0j,0j,0j,,0j,,0.0003082156595984237
28,0j,0j,0j,,0j,,0.00031963105439836533
29,0j,0j,0j,,0j,,0.00033104644919830696
30,0j,0j,0j,,0j,,0.0003424618439982486
31,0j,0j,0j,,0j,,0.0003538772387981902
32,0j,0j,0j,,0j,,0.00036529263359813183
33,0j,0j,0j,,0j,,0.00037670802839807346
34,0j,0j,0j,,0j,,0.0003881234231980151
35,0j,0j,0j,,0j,,0.0003995388179979567
36,0j,0j,0j,,0j,,0.00041095421279789833
37,0j,0j,0j,,0j,,0.00042236960759783996
38,0j,0j,0j,,0j,,0.0004337850023977815
39,0j,0j,0j,,0j,,0.00044520039719772315
40,0j,0j,0j,,0j,,0.0004566157919976648
41,0j,0j,0j,,0j,,0.0004680311867976064
42,0j,0j,0j,,0j,,0.000479446581597548
43,0j,0j,0j,,0j,,0.0004908619763974896
44,0j,0j,0j,,0j,,0.0005022773711974313
45,0j,0j,0j,,0j,,0.0005136927659973729
46,0j,0j,0j,,0j,,0.0005251081607973145
47,0j,0j,0j,,0j,,0.0005365235555972561
48,0j,0j,0j,,0j,,0.0005479389503971978
49,0j,0j,0j,,0j,,0.0005593543451971394
50,0j,0j,0j,,0j,,0.000570769739997081
51,0j,0j,0j,,0j,,0.0005821851347970226
52,0j,0j,0j,,0j,,0.0005936005295969643
53,0j,0j,0j,,0j,,0.0006050159243969059
54,0j,0j,0j,,0j,,0.0006164313191968474
55,0j,0j,0j,,0j,,0.000627846713996789
56,0j,0j,0j,,0j,,0.0006392621087967307
57,0j,0j,0j,,0j,,0.0006506775035966723
58,0j,0j,0j,,0j,,0.0006620928983966139
59,0j,0j,0j,,0j,,0.0006735082931965555
60,0j,0j,0j,,0j,,0.0006849236879964972
61,0j,0j,0j,,0j,,0.0006963390827964388
62,0j,0j,0j,,0j,,0.0007077544775963804
63,0j,0j,0j,,0j,,0.000719169872396322
64,0j,0j,0j,,0j,,0.0007305852671962637
65,0j,0j,0j,,0j,,0.0007420006619962053
66,0j,0j,0j,,0j,,0.0007534160567961469
67,0j,0j,0j,,0j,,0.0007648314515960885
68,0j,0j,0j,,0j,,0.0007762468463960302
69,0j,0j,0j,,0j,,0.0007876622411959718
70,0j,0j,0j,,0j,,0.0007990776359959134
71,0j,0j,0j,,0j,,0.000810493030795855
72,0j,0j,0j,,0j,,0.0008219084255957967
73,0j,0j,0j,,0j,,0.0008333238203957383
74,0j,0j,0j,,0j,,0.0008447392151956799
75,0j,0j,0j,,0j,,0.0008561546099956214
76,0j,0j,0j,,0j,,0.000867570004795563
77,0j,0j,0j,,0j,,0.0008789853995955047
78,0j,0j,0j,,0j,,0.0008904007943954463
79,0j,0j,0j,,0j,,0.0009018161891953879
80,0j,0j,0j,,0j,,0.0009132315839953296
81,0j,0j,0j,,0j,,0.0009246469787952712
82,0j,0j,0j,,0j,,0.0009360623735952128
83,0j,0j,0j,,0j,,0.0009474777683951544
84,0j,0j,0j,,0j,,0.000958893163195096
85,0j,0j,0j,,0j,,0.0009703085579950377
86,0j,0j,0j,,0j,,0.0009817239527949793
87,0j,0j,0j,,0j,,0.0009931393475949208
88,0j,0j,0j,,0j,,0.0010045547423948625
89,0j,0j,0j,,0j,,0.001015970137194804
90,0j,0j,0j,,0j,,0.0010273855319947458
91,0j,0j,0j,,0j,,0.0010388009267946873
92,0j,0j,0j,,0j,,0.001050216321594629
93,0j,0j,0j,,0j,,0.0010616317163945706
94,0j,0j,0j,,0j,,0.0010730471111945123
95,0j,0j,0j,,0j,,0.0010844625059944538
96,0j,0j,0j,,0j,,0.0010958779007943955
97,0j,0j,0j,,0j,,0.001107293295594337
98,0j,0j,0j,,0j,,0.0011187086903942788
99,0j,0j,0j,,0j,,0.0011301240851942203
100,0j,0j,0j,,0j,,0.001141539479994162
101,0j,0j,0j,,0j,,0.0011529548747941036
102,0j,0j,0j,,0j,,0.0011643702695940453
103,0j,0j,0j,,0j,,0.0011757856643939868
104,0j,0j,0j,,0j,,0.0011872010591939285
105,0j,0j,0j,,0j,,0.00119861645399387
106,0j,0j,0j,,0j,,0.0012100318487938118
107,0j,0j,0j,,0j,,0.0012214472435937533
108,0j,0j,0j,,0j,,0.0012328626383936948
109,0j,0j,0j,,0j,,0.0012442780331936366
110,0j,0j,0j,,0j,,0.001255693427993578
111,0j,0j,0j,,0j,,0.0012671088227935198
112,0j,0j,0j,,0j,,0.0012785242175934613
113,0j,0j,0j,,0j,,0.001289939612393403
114,0j,0j,0j,,0j,,0.0013013550071933446
115,0j,0j,0j,,0j,,0.0013127704019932863
116,0j,0j,0j,,0j,,0.0013241857967932278
117,0j,0j,0j,,0j,,0.0013356011915931696
118,0j,0j,0j,,0j,,0.001347016586393111
119,0j,0j,0j,,0j,,0.0013584319811930528
120,0j,0j,0j,,0j,,0.0013698473759929943
121,0j,0j,0j,,0j,,0.001381262770792936
122,0j,0j,,0j,0j,,0.0013926781655928776
123,0j,0j,,0j,0j,,0.0014040935603928193
124,0j,0j,,0j,0j,,0.0014155089551927608
125,0j,0j,,0j,0j,,0.0014269243499927026
126,0j,0j,,0j,0j,,0.001438339744792644
127,0j,0j,,0j,0j,,0.0014497551395925858
128,0j,0j,,0j,0j,,0.0014611705343925273
129,0j,0j,,0j,0j,,0.0014725859291924688
130,0j,0j,,0j,0j,,0.0014840013239924106
131,0j,0j,,0j,0j,,0.001495416718792352
132,0j,0j,,0j,0j,,0.0015068321135922938
133,0j,0j,,0j,0j,,0.0015182475083922353
134,0j,0j,,0j,0j,,0.001529662903192177
135,0j,0j,,0j,0j,,0.0015410782979921186
136,0j,0j,,0j,0j,,0.0015524936927920603
137,0j,0j,,0j,0j,,0.0015639090875920018
138,0j,0j,,0j,0j,,0.0015753244823919436
139,0j,0j,,0j,0j,,0.001586739877191885
140,0j,0j,,0j,0j,,0.0015981552719918268
141,0j,0j,,0j,0j,,0.0016095706667917683
142,0j,0j,,0j,0j,,0.00162098606159171
143,0j,0j,,0j,0j,,0.0016324014563916516
144,0j,0j,,0j,0j,,0.0016438168511915933
145,0j,0j,,0j,0j,,0.0016552322459915348
146,0j,0j,,0j,0j,,0.0016666476407914766
147,0j,0j,,0j,0j,,0.001678063035591418
148,0j,0j,,0j,0j,,0.0016894784303913598
149,0j,0j,,0j,0j,,0.0017008938251913013
150,0j,0j,,0j,0j,,0.0017123092199912429
151,0j,0j,,0j,0j,,0.0017237246147911846
152,0j,0j,,0j,0j,,0.001735140009591126
153,0j,0j,,0j,0j,,0.0017465554043910678
154,0j,0j,,0j,0j,,0.0017579707991910094
155,0j,0j,,0j,0j,,0.001769386193990951
156,0j,0j,,0j,0j,,0.0017808015887908926
157,0j,0j,,0j,0j,,0.0017922169835908343
158,0j,0j,,0j,0j,,0.0018036323783907759
159,0j,0j,,0j,0j,,0.0018150477731907176
160,0j,0j,,0j,0j,,0.001826463167990659
161,0j,0j,,0j,0j,,0.0018378785627906008
162,0j,0j,,0j,0j,,0.0018492939575905424
163,0j,0j,,0j,0j,,0.001860709352390484
164,0j,0j,,0j,0j,,0.0018721247471904256
165,0j,0j,,0j,0j,,0.0018835401419903673
166,0j,0j,,0j,0j,,0.0018949555367903089
167,0j,0j,,0j,0j,,0.0019063709315902506
168,0j,0j,,0j,0j,,0.001917786326390192
169,0j,0j,,0j,0j,,0.0019292017211901338
170,0j,0j,,0j,0j,,0.0019406171159900753
171,0j,0j,,0j,0j,,0.0019520325107900169
172,0j,0j,,0j,0j,,0.0019634479055899586
173,0j,0j,,0j,0j,,0.0019748633003899003
174,0j,0j,,0j,0j,,0.0019862786951898416
175,0j,0j,,0j,0j,,0.0019976940899897834
176,0j,0j,,0j,0j,,0.002009109484789725
177,0j,0j,,0j,0j,,0.002020524879589667
178,0j,0j,,0j,0j,,0.002031940274389608
179,0j,0j,,0j,0j,,0.00204335566918955
180,0j,0j,,0j,0j,,0.0020547710639894916
181,0j,0j,,0j,0j,,0.0020661864587894333
182,0j,0j,,0j,0j,,0.0020776018535893746
183,0j,0j,,0j,0j,,0.0020890172483893164
184,0j,0j,,0j,0j,,0.002100432643189258
185,0j,0j,,0j,0j,,0.0021118480379892
186,0j,0j,,0j,0j,,0.002123263432789141
187,0j,0j,,0j,0j,,0.002134678827589083
188,0j,0j,,0j,0j,,0.0021460942223890246
189,0j,0j,,0j,0j,,0.0021575096171889663
190,0j,0j,,0j,0j,,0.0021689250119889076
191,0j,0j,,0j,0j,,0.0021803404067888494
192,0j,0j,,0j,0j,,0.002191755801588791
193,0j,0j,,0j,0j,,0.0022031711963887324
194,0j,0j,,0j,0j,,0.002214586591188674
195,0j,0j,,0j,0j,,0.002226001985988616
196,0j,0j,,0j,0j,,0.0022374173807885576
197,0j,0j,,0j,0j,,0.002248832775588499
